N	gene	beta	pval
6017	Cmpk1	-6.73765236403356	0.0034935773665163
6026	Cmtm6	13.4633662208577	2.11076222212547e-07
6035	Cnbp	12.7341389270915	0.518726939039069
6054	Cnn2	6.57724284259114	0.00231640239403598
6056	Cnn3	3.31716412369717	0.000342978208132915
6068	Cnot6l	-2.42361786999834	0.416834121556703
6069	Cnot7	2.74894660971429	0.000373765653796469
6072	Cnp	23.7051270041198	0.000517030957814319
6079	Cnr2	6.32848488686091	2.42820659549187e-05
6080	Cnrip1	-2.44281677681225	5.19818516622614e-06
6109	Cobll1	-6.61671262798735	0.00261729639127882
6146	Col4a3bp	-3.83398920314155	0.000738588001043241
6169	Colgalt1	-3.90783025694611	0.0155996979187337
6179	Commd7	-3.10616086750343	0.000346295224717459
6180	Commd8	3.26671927954241	0.00191460244700033
6186	Copa	-4.25847930570256	2.40161090674222e-05
6188	Copb2	-4.03647900405913	0.0437707809104485
6189	Cope	-4.44745255078185	0.000677662198068437
6216	Coro1a	69.9173253182452	7.42424014866515e-08
6217	Coro1b	-2.37434362153874	4.47256670682787e-08
6218	Coro1c	-2.92203634500824	2.02458409763061e-06
6219	Coro2a	-5.36661670883752	0.000987890431823627
6222	Coro7	-8.81592930139494	0.0001376291170594
6225	Cox10	4.56636481048631	4.67061554875999e-06
6235	Cox4i1	-7.75707853889154	1.87240965089487e-05
6244	Cox6c	3.84327112234218	7.71684724605978e-10
6248	Cox7a2l	6.99144027167615	0.000269778470649955
6253	Cox8a	-5.85370469644392	3.26960106180486e-12
6278	Cpm	6.12663641996994	0.999999865486721
6283	Cpne3	-7.48878433321115	5.05694689173487e-07
6287	Cpne7	-6.47570064587665	0.127280694240891
6296	Cpsf3	4.42550420577776	0.00147221492596111
6299	Cpsf6	2.43890124888253	6.43967054703728e-08
6311	Cr1l	-4.48956716353774	0.0108151267754053
6326	Crbn	4.47364479398844	0.345502820374948
6328	Creb1	2.67352412356253	2.39219188282019e-12
6335	Crebbp	4.41038173225335	3.45844177702275e-08
6348	Crip1	-2.74009841203731	0.183570980137058
6351	Cript	-3.33411237856648	1
6359	Crkl	-2.0356749048902	0.866821357690996
6362	Crlf3	17.1650004397042	9.81601403394155e-05
6370	Crot	3.75587481121093	3.87999877610799e-08
6376	Crtam	-2.36666774260955	0.00106662223243085
6383	Cry1	2.3653745119172	0.278282914000125
6393	Crybg1	-5.19398148189083	0.402732975251258
6409	Cs	4.1044993565037	2.61741701227254e-07
6412	Csde1	-9.45529604728536	1.54089475711817e-08
6413	Cse1l	2.58455633640455	3.15292416201315e-07
6435	Csnk1a1	2.2369777172244	0.0388948333302864
6436	Csnk1d	-4.19734814046183	0.0120143022608395
6461	Cst3	-5.01027392066152	2.95222339444691e-07
6463	Cst7	-15.6537211618874	0.000198614873819119
6482	CT010467.2	3.31892614526449	0.401220925810256
6504	Ctdspl2	-2.35433297371785	7.38193393861544e-05
6509	Ctla2a	-32.2120762796078	0.999999809769497
6510	Ctla2b	-2.53435530360915	0.330130682622165
6512	Ctnna1	-4.18015335875003	0.999999809769497
6518	Ctnnbl1	2.64296193559444	0.613164982781449
6535	Ctsa	-7.11145917925727	4.81728177419894e-09
6536	Ctsb	44.9994693326431	5.02602468337557e-12
6537	Ctsc	-15.8527318426588	0.000213488071460294
6538	Ctsd	-93.0981910344878	0.0403048200712145
6552	Ctss	32.4799515476564	1.25141247644202e-10
6553	Ctsw	-79.5499372223459	6.42010136249735e-06
6566	Cul1	-3.7367643429596	0.178811559610029
6580	Cwc15	-2.63488495632648	0.0060100150162553
6588	Cx3cr1	-5.58965163322987	1
6605	Cxcr3	-2.18748749111618	7.21130533224744e-10
6608	Cxcr6	63.9739461575165	1.74925018659506e-07
6611	Cxxc5	-2.5319889429001	1.37158003463742e-10
6613	Cyb561a3	-2.39228487645464	0.0149440395242589
6616	Cyb5a	6.61614901124892	1.00455637247149e-07
6622	Cyb5r3	-2.43833493510505	9.28128281555266e-07
6625	Cyba	-10.8825794665965	1.5885115549021e-08
6627	Cybc1	-4.0300187515731	0.0511524881991438
6632	Cyfip1	-3.51397974347724	0.000455881098358257
6633	Cyfip2	-19.3665183410738	1.08236179348828e-05
6638	Cyld	5.70301019207804	0.000121739222295604
6639	Cym	-3.15677621515234	0.123466348704606
6763	Cyp4v3	-2.7326304649102	0.0281846308352131
6766	Cyp51	2.79326142799309	0.0400170625679825
6779	Cysltr2	-2.43894977598636	5.59371739223288e-05
6782	Cyth1	9.40280353923166	1
6784	Cyth3	4.02480361507144	7.43933129558787e-10
6785	Cyth4	-17.8781892505247	1.10516907850974e-07
6786	Cytip	31.2334259776758	0.000122750609622775
6789	Czib	2.21778286513255	0.101311426681134
6822	D16Ertd472e	-6.05255545190083	7.3432538573762e-05
